"id","name","adminCode","latitude","longitude","population","country"
1278498,Aonla,36,28.27402,79.16521,50011,IN
6541194,Scafati,04,40.75281,14.53384,50013,IT
6540094,Rho,09,45.53087,9.04014,50052,IT
1642692,Jatiroto,07,-7.88333,111.11667,50059,ID
1850523,Tateyama,04,34.98333,139.86667,50064,JP
2907851,Heidenheim an der Brenz,01,48.67798,10.15162,50067,DE
2619771,Horsens,18,55.86066,9.85034,50074,DK
334227,Inda Silasē,53,14.10307,38.28289,50078,ET
2039623,Ŭiju,11,40.19944,124.53167,50081,KP
3053438,Dunaújváros,08,46.96479,18.93974,50084,HU
1536289,Snezhinsk,13,56.085,60.73139,50086,RU
1275848,Bhongīr,40,17.51544,78.88563,50094,IN
3446753,Taquaritinga,27,-21.40611,-48.50472,50098,BR
3074199,Jihlava,80,49.3961,15.59124,50100,CZ
3979846,Zacapú,16,19.81396,-101.79157,50112,MX
1728336,Balayan,40,13.93714,120.73224,50115,PH
5037790,Minnetonka Mills,MN,44.94107,-93.4419,50117,US
2487620,Metlili Chaamba,45,32.26667,3.63333,50117,DZ
513883,Otradnyy,65,53.37596,51.3452,50127,RU
5141498,City of Troy,NY,42.73546,-73.67513,50129,US
217570,Buta,13,2.78582,24.72997,50130,CD
7163252,City of Bellevue,NE,41.15377,-95.93465,50137,US
5025264,Edina,MN,44.88969,-93.34995,50138,US
5384690,Poway,CA,32.96282,-117.03586,50157,US
6541852,Rovigo,20,45.07999,11.79301,50164,IT
6089426,North Bay,08,46.3168,-79.46633,50170,CA
2645889,Keighley,ENG,53.86791,-1.90664,50171,GB
4692883,Galveston,TX,29.30135,-94.7977,50180,US
7603031,Triana,51,37.38271,-6.00257,50181,ES
3491941,Villa Francisca,34,18.48278,-69.88914,50185,DO
2655351,Bletchley,ENG,51.99334,-0.73471,50193,GB
5128728,City of Niagara Falls,NY,43.09209,-79.01473,50193,US
5323163,Aliso Viejo,CA,33.56504,-117.72712,50195,US
1879613,Anju,15,39.61778,125.66472,50196,KP
712160,Bilhorod-Dnistrovskyi,17,46.1952,30.34938,50201,UA
2479161,Sour el Ghozlane,21,36.14766,3.69123,50204,DZ
567434,Chusovoy,90,58.3013,57.8131,50205,RU
1257587,Sālūr,02,18.51716,83.20548,50206,IN
5127354,Montgomery County,NY,42.90228,-74.43968,50219,US
289199,Al Khābūrah,11,23.97144,57.09313,50223,OM
1854026,Ono,13,34.85,134.93333,50230,JP
1261910,Nanjangūd,19,12.11764,76.68397,50243,IN
2178173,Albury Municipality,02,-36.01494,146.95684,50243,AU
3077685,Chomutov,89,50.46048,13.41779,50251,CZ
1279394,Ābu Road,24,24.48012,72.78186,50262,IN
4951473,South Peabody,MA,42.50982,-70.94949,50293,US
2294962,Swedru,04,5.53711,-0.69984,50293,GH
5805687,Olympia,WA,47.03787,-122.9007,50302,US
298935,Torbalı,35,38.1519,27.36223,50303,TR
2287790,Issia,96,6.49224,-6.58558,50313,CI
6138374,Saint-Hyacinthe,10,45.63076,-72.95699,50326,CA
6177869,Welland,08,42.98342,-79.24958,50331,CA
2223734,Nkoteng,11,4.51667,12.03333,50334,CM
2830582,Speyer,08,49.32083,8.43111,50343,DE
248382,Ma'an,19,30.19624,35.73405,50350,JO
1514891,Konibodom,03,40.29414,70.43122,50359,TJ
1185252,Khagrachhari,84,23.10787,91.97007,50364,BD
5777544,Logan,UT,41.73549,-111.83439,50371,US
1271780,Gajraula,36,28.8457,78.2396,50380,IN
2650732,Dunfermline,SCT,56.07156,-3.45887,50380,GB
1170667,Mātli,05,25.0429,68.65591,50398,PK
2834265,Schwerte,07,51.44387,7.5675,50399,DE
3627968,San Mateo,04,10.21302,-67.42365,50401,VE
3689570,Arjona,35,10.25444,-75.34389,50405,CO
6541550,Montesilvano,01,42.50394,14.138,50413,IT
3675707,Madrid,33,4.73245,-74.26419,50437,CO
3176391,Gallarate,09,45.66019,8.79164,50439,IT
2881062,Langenhagen,06,52.44758,9.73741,50439,DE
1264414,Mahāsamund,37,21.10743,82.0948,50441,IN
701855,Marhanets’,04,47.63543,34.62769,50443,UA
1153269,Hua Hin,57,12.57065,99.95876,50456,TH
6537078,Gallarate,09,45.66397,8.79034,50456,IT
2294938,Tafo,02,6.73156,-1.6137,50457,GH
757033,Tarnobrzeg,80,50.57304,21.67937,50459,PL
749704,Çarşamba,55,41.19889,36.72194,50459,TR
6541913,Battipaglia,04,40.61091,14.98515,50464,IT
5788516,Burien,WA,47.47038,-122.34679,50467,US
5264870,North La Crosse,WI,43.84635,-91.24819,50470,US
5112398,Chenango County,NY,42.49351,-75.61158,50477,US
5129926,Town of Orangetown,NY,41.05264,-73.94743,50479,US
1316703,Kyaukse,08,21.6056,96.13508,50480,MM
1859695,Kawakita-machi,15,36.46667,136.55,50487,JP
3012937,Hyères,93,43.12038,6.12857,50487,FR
3005866,Laval,52,48.0732,-0.7634,50489,FR
3664539,Coari,04,-4.085,-63.14139,50490,BR
216404,Gbadolite,26,4.279,21.00284,50493,CD
7284838,Budapest XXII. kerület,05,47.42698,19.04016,50499,HU
791580,Deçan,10096859,42.54018,20.28793,50500,XK
743818,Kavaklı,34,41.09258,28.33172,50502,TR
3666570,Turbo,02,8.09263,-76.72822,50508,CO
1715542,Dapitan,09,8.6561,123.4227,50514,PH
1272225,Dumraon,34,25.55265,84.15149,50524,IN
41210,Khorramdarreh,36,36.20777,49.19527,50528,IR
1162105,Zhob,02,31.34082,69.4493,50537,PK
3448300,São Roque,27,-23.52917,-47.13528,50540,BR
1640902,Kawalu,30,-7.3817,108.2082,50541,ID
2652974,Clacton-on-Sea,ENG,51.78967,1.15597,50548,GB
1274571,Charkhi Dādri,10,28.59166,76.27161,50558,IN
2855328,Passau,02,48.5665,13.43122,50560,DE
547840,Kizlyar,17,43.84712,46.71445,50564,RU
548602,Kingisepp,42,59.37331,28.61343,50566,RU
1264570,Madhipura,34,25.92127,86.79271,50570,IN
3395395,Marechal Deodoro,02,-9.71028,-35.895,50571,BR
2634578,Wellingborough,ENG,52.30273,-0.69446,50577,GB
2896817,Ibbenbüren,07,52.27964,7.71457,50577,DE
6540112,Pordenone,06,45.96171,12.65532,50583,IT
1854530,Ōi,34,35.85091,139.51998,50593,JP
3139075,Skien,17,59.20962,9.60897,50595,NO
4796512,Saint Croix,010,17.72751,-64.74698,50601,VI
532657,Lytkarino,47,55.58271,37.90516,50619,RU
1166827,Rohri,05,27.69203,68.89503,50649,PK
1607737,Phetchabun,14,16.41904,101.16056,50656,TH
5160315,Lakewood,OH,41.48199,-81.79819,50656,US
741609,Merzifon,05,40.87333,35.46306,50658,TR
121795,Oshnavīyeh,01,37.0397,45.0983,50661,IR
2510073,Utrera,51,37.18516,-5.78093,50665,ES
1641333,Karanganom,07,-7.64889,110.625,50670,ID
1264551,Madhupur,38,24.27419,86.63929,50671,IN
699839,Nova Kakhovka,08,46.75451,33.34864,50672,UA
207596,Mweka,18,-4.85187,21.5595,50675,CD
2978640,Saint-Malo,53,48.65,-2.01667,50676,FR
1167380,Rajanpur,04,29.10408,70.32969,50682,PK
627145,Kobryn,01,52.2138,24.3564,50691,BY
2291580,Bingerville,93,5.35581,-3.88537,50694,CI
99062,Al Miqdādīyah,10,33.97861,44.93694,50698,IQ
561667,Gelendzhik,38,44.5622,38.0848,50715,RU
3513966,Zumpango,15,19.7967,-99.09946,50742,MX
1864155,Fuchūchō,11,34.5735,133.23513,50746,JP
1268189,Kānkānhalli,19,12.54654,77.42005,50752,IN
1271151,Goālpāra,03,26.17668,90.62634,50759,IN
2990919,Narbonne,76,43.18396,3.00141,50776,FR
3832260,Yerba Buena,24,-26.81667,-65.31667,50783,AR
766555,Legionowo,78,52.40149,20.92664,50786,PL
5288786,Catalina Foothills,AZ,32.29785,-110.9187,50796,US
1859488,Kikuchi Shi,21,32.99107,130.85523,50801,JP
2656168,Batley,ENG,53.70291,-1.6337,50807,GB
3436124,Barranqueras,03,-27.48132,-58.93925,50823,AR
3047679,Nagykanizsa,24,46.45347,16.99104,50823,HU
4155529,Flagami,FL,25.76232,-80.31616,50834,US
1732711,Pontian Kechil,01,1.4866,103.3896,50836,MY
2112232,Kitaibaraki,14,36.78671,140.74901,50843,JP
3700563,Tocumen,08,9.08939,-79.3831,50844,PA
565348,Donetsk,61,48.33962,39.95948,50850,RU
2522713,Vittoria,15,36.95151,14.52788,50852,IT
5287262,Buckeye,AZ,33.37032,-112.58378,50876,US
1581364,Hà Đông,44,20.97136,105.77876,50877,VN
6230919,Whangarei,F6,-35.73167,174.32391,50900,NZ
1261008,Ottappālam,13,10.7735,76.37758,50913,IN
2184397,Porirua,G2,-41.13333,174.85,50914,NZ
1263661,Mannārakkāt,13,10.99223,76.46418,50921,IN
11549783,la Vila de Gràcia,56,41.40315,2.15687,50928,ES
1514387,Beruniy,09,41.69111,60.7525,50929,UZ
753142,Żoliborz,78,52.26896,20.98644,50934,PL
1254069,Tūndla,36,27.2146,78.23683,50939,IN
160892,Bunda,08,-2.05,33.86667,50944,TZ
7163518,City of Elkhart,IN,41.691,-85.96525,50949,US
1851883,Shiraoka,34,36.01839,139.66034,50974,JP
790295,Gostivar,D4,41.79601,20.90819,50974,MK
5122339,Town of Irondequoit,NY,43.21039,-77.5707,50985,US
729794,Kardzhali,44,41.65,25.36667,51000,BG
3556268,Jesús Menéndez,13,21.16139,-76.47919,51002,CU
4175117,The Hammocks,FL,25.67149,-80.4445,51003,US
3450964,Rolândia,18,-23.30972,-51.36917,51004,BR
163808,Tadmur,11,34.5624,38.28402,51015,SY
3441702,Melo,03,-32.37028,-54.1675,51023,UY
128008,Khalkhāl,32,37.61837,48.52928,51024,IR
1264647,Mācherla,02,16.47635,79.43533,51039,IN
2637126,Staines,ENG,51.43092,-0.50606,51040,GB
1256269,Sillod,16,20.30303,75.65284,51042,IN
2128867,Noshiro,02,40.20838,140.0274,51079,JP
182701,Nyeri,44,-0.42013,36.94759,51084,KE
555111,Ivanteyevka,47,55.97111,37.92083,51085,RU
301010,Seydişehir,71,37.41926,31.84527,51089,TR
1645976,Comal,07,-6.9053,109.5347,51092,ID
2866110,Neubrück,07,51.13434,6.63857,51109,DE
6356031,Calvià,07,39.56335,2.50299,51114,ES
4151871,Coral Gables,FL,25.72149,-80.26838,51117,US
5141045,Tioga County,NY,42.1703,-76.30632,51125,US
709248,Fastiv,13,50.0767,29.9177,51143,UA
5102427,Parsippany,NJ,40.85788,-74.42599,51144,US
2596934,Séguéla,97,7.96111,-6.67306,51157,CI
3398450,Horizonte,06,-4.1,-38.48333,51171,BR
355648,Ibshawāy,04,29.35805,30.68142,51173,EG
2610613,Vejle,21,55.70927,9.5357,51177,DK
4698632,Hood County,TX,32.42993,-97.83227,51182,US
294117,Nahariyya,03,33.00892,35.09814,51200,IL
3387786,Serra Talhada,30,-7.99194,-38.29833,51203,BR
2509509,Vila-real,60,39.9383,-0.10087,51205,ES
2929671,Erftstadt,07,50.81481,6.79387,51207,DE
4769125,Leesburg,VA,39.11566,-77.5636,51209,US
2503852,Birine,22,35.635,3.225,51209,DZ
609123,Qulsary,06,46.95307,54.01978,51216,KZ
5102720,Plainfield,NJ,40.63371,-74.40737,51217,US
5016494,Apple Valley,MN,44.73191,-93.21772,51221,US
3064288,Teplice,89,50.6404,13.82451,51223,CZ
2483649,Remchi,15,35.06196,-1.43362,51224,DZ
